dataset,seed,task,group,phase,n,real_norm_null,real_norm_median,real_norm_min,real_norm_max,weighted_FD_norm_null,weighted_FD_norm_median,weighted_FD_norm_min,weighted_FD_norm_max,weighted_ratio_null,weighted_ratio_median,weighted_ratio_min,weighted_ratio_max,cosine_null,cosine_median,cosine_min,cosine_max,total_norm_null,total_norm_median,total_norm_min,total_norm_max,total_real_cosine_null,total_real_cosine_median,total_real_cosine_min,total_real_cosine_max,FD_dominant_count,opposed_count,total_against_real_count,real_zero_count,FD_zero_count
HK,1994,8,main,epoch2to10,9,0,0.0014566239042054288,1.6786139159007348e-05,3.3388176775618863,0,0.16470981639306542,0.05456070341356,0.17991616181691306,0,113.07642001310742,0.016341324589308516,10718.138346921249,0,0.20082913492502077,-0.6492051002792838,0.3065962475312842,0,0.17910030371680924,0.1398015920284636,3.3070225685972536,0,0.3083979375889603,0.19218278622783785,0.9999109752607298,7,3,0,0,0
HK,1994,8,few,epoch2to10,9,0,0.005897413889924823,0.001803012403644962,6.230851614713348,0,0.13786561138757097,0.035711152747344856,0.15790377801775407,0,23.40318112188899,0.005731343796250516,84.21110813971778,0,0.18467555279468523,-0.651428940626546,0.24766940143730154,0,0.15893781197007653,0.1389991327771621,6.210007631763584,0,0.2871168064768448,0.21112862786018383,0.9999891349729501,6,3,0,0,0
HK,1994,9,main,epoch1,1,0,2.233216629989964,2.233216629989964,2.233216629989964,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.233216629989964,2.233216629989964,2.233216629989964,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,9,few,epoch1,1,0,4.416864679478941,4.416864679478941,4.416864679478941,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.416864679478941,4.416864679478941,4.416864679478941,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,9,main,epoch2to10,9,0,0.0026334262392949787,0.0009006966198893461,0.08983136720674352,0,0.017690204570327966,0.009556051679236875,0.09190890599589521,0,3.992342444341817,0.3250623413753981,35.05439244432805,0,0.1108130913990326,-0.13386892173715964,0.21167551149944674,0,0.01784589514748327,0.01018971614873627,0.10924266475090451,0,0.35994727372011903,-0.10570310199641264,0.9585503732722843,8,2,1,0,0
HK,1994,9,few,epoch2to10,9,0,0.009445471821925093,0.003706097170116762,0.2769084577746171,0,0.03515395834745893,0.01784164853850044,0.13147264778714643,0,1.8889102497861365,0.18068084678555263,17.233140156427528,0,0.010824367298320809,-0.05217305780189011,0.06868770553644452,0,0.035655896087417385,0.01974732037863963,0.2847538243995871,0,0.4311784231067134,0.08762629515224868,0.984517224313791,7,3,0,0,0
HK,1994,10,main,epoch1,1,0,2.139253642508969,2.139253642508969,2.139253642508969,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.139253642508969,2.139253642508969,2.139253642508969,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,10,few,epoch1,1,0,5.08286286143996,5.08286286143996,5.08286286143996,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,5.08286286143996,5.08286286143996,5.08286286143996,0,1.0,1.0,1.0,0,0,0,0,1
HK,1994,10,main,epoch2to10,9,0,6.065495047979141e-07,6.611582518756507e-11,0.0001496241569217842,0,0.003980780895170517,0.0013483860166290773,0.18534887058119903,0,3948.765111162896,57.279025982370094,124512345.66364369,0,-0.1977681858897326,-0.5641005534348592,0.217400332376524,0,0.003981064697819601,0.0013483118544167674,0.18526450870530897,0,-0.19776816610410342,-0.5635497972389939,0.2177125108102911,9,6,6,0,0
HK,1994,10,few,epoch2to10,9,0,0.0005563546134417595,2.685441468338458e-06,0.0077703586027485375,0,0.012965322655234058,0.0025885152354213985,0.22420975363945617,0,22.055687766756346,0.522010991535274,10190.257559053143,0,-0.2917197145037582,-0.5221277733844956,0.05488841026214446,0,0.01301083502149544,0.0024708852831067116,0.2215006201095004,0,-0.14337529730692383,-0.5218103077547672,0.8616465803144767,8,8,6,0,0
