method,order_seed,session,seen_classes,old_classes,current_classes,split,predictor,scope,n_images,n_classes,correct_sample_weighted,correct_class_macro,to_other_sample_weighted,to_other_class_macro,wrong_within_sample_weighted,wrong_within_class_macro,mix_seed
B3,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,56.00000000000001,57.450936780205076,9.333333333333334,9.324864050473806,34.66666666666667,33.224199169321125,41003
B4,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,71.81208053691275,69.94780118255728,0.0,0.0,28.187919463087248,30.052198817442722,41001
B4,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B4,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,63.49206349206349,67.2037422037422,34.92063492063492,30.87318087318087,1.5873015873015872,1.9230769230769231,41001
B4,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,63.758389261744966,62.22514781966001,11.409395973154362,12.02559127864006,24.832214765100673,25.749260901699927,41001
B4,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,48.19277108433735,48.766157461809634,49.39759036144578,48.79553466509988,2.4096385542168677,2.4383078730904817,41001
B4,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,57.54716981132076,58.42767016547504,12.264150943396226,12.476652202261958,30.18867924528302,29.095677632263,41001
B4,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,58.45070422535211,57.517715886618326,0.0,0.0,41.54929577464789,42.482284113381674,41001
B4,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B4,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,64.19753086419753,63.17567567567568,22.22222222222222,23.249385749385752,13.580246913580247,13.574938574938574,41001
B4,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,51.40845070422535,51.17130850362558,12.676056338028168,13.302845528455286,35.91549295774648,35.52584596791914,41001
B4,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,59.72222222222222,65.96989966555184,36.11111111111111,29.09698996655518,4.166666666666666,4.933110367892977,41001
B4,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,53.36322869955157,52.69308943089431,6.278026905829597,6.705719022792193,40.35874439461883,40.6011915463135,41001
B4,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,78.91156462585033,80.14104139104138,0.0,0.0,21.08843537414966,19.85895860895861,41001
B4,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,41001
B4,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,53.84615384615385,53.59261700725115,12.82051282051282,12.590639419907712,33.33333333333333,33.81674357284113,41001
B4,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,64.62585034013605,66.42612455112456,14.285714285714285,13.702631827631828,21.08843537414966,19.87124362124362,41001
B4,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,45.714285714285715,46.7391304347826,50.0,47.01086956521739,4.285714285714286,6.25,41001
