dataset,seed,stream,mode,identity,valid_online_CIL,scope,n_images,n_classes,correct_sample,correct_macro,to_other_sample,to_other_macro,wrong_within_sample,wrong_within_macro
HK,1995,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,78.19383259911893,52.997821678361554,7.415565345080763,4.5377682733058915,14.390602055800294,42.46441004833256
HK,1995,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,80.05952380952381,85.67676767676767,19.940476190476193,14.323232323232324,0.0,0.0
HK,1995,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,78.70778267254039,53.25708629909115,7.048458149779736,4.378532604516082,14.243759177679882,42.364381096392776
HK,1995,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,80.05952380952381,85.67676767676767,19.940476190476193,14.323232323232324,0.0,0.0
HK,1995,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,0.0,0.0,99.77973568281938,99.69696969696969,0.22026431718061676,0.30303030303030304
HK,1995,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,100.0,100.0,0.0,0.0,0.0,0.0
HK,1995,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,67.25403817914831,42.14894993891005,8.883994126284875,6.083578899787462,23.861967694566815,51.76747116130248
HK,1995,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,65.17857142857143,74.60606060606061,34.82142857142857,25.39393939393939,0.0,0.0
HK,1995,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,0.0,0.0,100.0,100.0,0.0,0.0
HK,1995,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,100.0,100.0,0.0,0.0,0.0,0.0
HK,1995,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,1362,20,69.67694566813509,45.711547349546706,10.13215859030837,6.723531532753328,20.190895741556535,47.564921117699974
HK,1995,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,336,3,68.75,77.2121212121212,31.25,22.78787878787879,0.0,0.0
ISIC,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,42.45283018867924,44.956022882852146,45.75471698113208,43.439535177340055,11.79245283018868,11.604441939807792
ISIC,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,81.92771084337349,81.58049353701527,10.843373493975903,10.840188014101058,7.228915662650602,7.579318448883667
ISIC,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,54.71698113207547,55.87726627360774,18.39622641509434,17.86928088757357,26.88679245283019,26.253452838818692
ISIC,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,63.85542168674698,63.954171562867224,31.32530120481928,31.16921269095182,4.819277108433735,4.876615746180963
ISIC,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,33.490566037735846,36.51113462089072,57.07547169811321,53.833795205746426,9.433962264150944,9.655070173362857
ISIC,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,81.92771084337349,82.37367802585194,12.048192771084338,11.662749706227968,6.024096385542169,5.963572267920094
ISIC,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,61.32075471698113,61.60421209201697,12.264150943396226,12.723942175161687,26.41509433962264,25.671845732821346
ISIC,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,60.24096385542169,59.90011750881317,34.93975903614458,35.22326674500588,4.819277108433735,4.876615746180963
ISIC,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,61.79245283018868,62.02087875868364,12.264150943396226,12.723942175161687,25.943396226415093,25.255179066154675
ISIC,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,59.036144578313255,58.81316098707403,36.144578313253014,36.310223266745005,4.819277108433735,4.876615746180963
ISIC,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,1.8867924528301887,2.6175213675213675,97.16981132075472,96.5593079007713,0.9433962264150944,0.8231707317073171
ISIC,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,89.1566265060241,88.36662749706228,0.0,0.0,10.843373493975903,11.633372502937721
ISIC,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,46.22641509433962,48.27538287904141,25.0,23.96613439296366,28.77358490566038,27.758482727994927
ISIC,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,46.98795180722892,47.94359576968272,53.01204819277109,52.05640423031728,0.0,0.0
ISIC,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,0.0,0.0,100.0,100.0,0.0,0.0
ISIC,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,91.56626506024097,91.06933019976499,0.0,0.0,8.433734939759036,8.930669800235018
ISIC,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,212,6,50.0,51.3273344980662,20.754716981132077,19.90339158022085,29.245283018867923,28.76927392171295
ISIC,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,83,2,46.98795180722892,47.67920094007051,53.01204819277109,52.3207990599295,0.0,0.0
ISIC,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,23.766816143497756,22.627627627627632,63.22869955156951,64.35727579020262,13.004484304932735,13.015096582169756
ISIC,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,91.66666666666666,89.29765886287626,1.3888888888888888,1.0869565217391304,6.944444444444445,9.615384615384617
ISIC,1994,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,57.399103139013455,56.83370454711918,10.31390134529148,10.82798152920104,32.28699551569507,32.33831392367978
ISIC,1994,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,56.94444444444444,62.12374581939799,37.5,30.18394648829431,5.555555555555555,7.6923076923076925
ISIC,1994,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,9.417040358744394,8.312858312858314,87.89237668161435,88.59780234780236,2.690582959641256,3.089339339339339
ISIC,1994,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,93.05555555555556,90.38461538461539,0.0,0.0,6.944444444444445,9.615384615384617
ISIC,1994,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,61.88340807174888,61.261768975183614,6.726457399103139,6.9797430468162185,31.390134529147986,31.758487978000176
ISIC,1994,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,58.333333333333336,64.04682274247492,38.88888888888889,32.10702341137124,2.7777777777777777,3.8461538461538463
ISIC,1994,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,60.98654708520179,60.51435581923387,8.071748878923767,8.531142006751763,30.94170403587444,30.95450217401437
ISIC,1994,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,59.72222222222222,65.13377926421404,37.5,31.020066889632105,2.7777777777777777,3.8461538461538463
ISIC,1994,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,2.242152466367713,1.9656019656019657,95.51569506726457,95.96941731088073,2.242152466367713,2.064980723517309
ISIC,1994,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,80.55555555555556,78.92976588628761,2.7777777777777777,2.1739130434782608,16.666666666666664,18.896321070234112
ISIC,1994,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,32.73542600896861,31.9031448299741,17.937219730941703,18.91811989372965,49.327354260089685,49.17873527629625
ISIC,1994,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,26.38888888888889,34.03010033444816,68.05555555555556,61.62207357859531,5.555555555555555,4.3478260869565215
ISIC,1994,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,1.345291479820628,1.1363636363636362,97.75784753363229,98.03439803439802,0.8968609865470852,0.8292383292383293
ISIC,1994,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,84.72222222222221,83.0267558528428,1.3888888888888888,1.0869565217391304,13.88888888888889,15.88628762541806
ISIC,1994,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,223,6,37.219730941704036,36.56768742134596,15.246636771300448,15.967328192937947,47.53363228699551,47.4649843857161
ISIC,1994,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,72,2,33.33333333333333,41.97324414715719,62.5,54.76588628762542,4.166666666666666,3.260869565217391
ISIC,1995,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,33.77777777777778,35.39701179945083,48.888888888888886,47.824200629078675,17.333333333333336,16.7787875714705
ISIC,1995,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,82.85714285714286,76.9927536231884,4.285714285714286,4.257246376811594,12.857142857142856,18.75
ISIC,1995,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,54.666666666666664,55.73268497048984,12.88888888888889,13.110211311430822,32.44444444444444,31.15710371807933
ISIC,1995,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,51.42857142857142,52.08333333333333,42.857142857142854,39.583333333333336,5.714285714285714,8.333333333333332
ISIC,1995,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,25.333333333333336,27.601789278618543,61.77777777777778,60.3361514337124,12.88888888888889,12.062059287669042
ISIC,1995,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,84.28571428571429,79.07608695652173,7.142857142857142,8.423913043478262,8.571428571428571,12.5
ISIC,1995,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,60.88888888888889,61.98899265972436,9.777777777777779,10.027389661536002,29.333333333333332,27.98361767873963
ISIC,1995,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,58.57142857142858,59.510869565217384,38.57142857142858,36.322463768115945,2.857142857142857,4.166666666666666
ISIC,1995,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,60.0,61.203700715895835,9.777777777777779,10.027389661536002,30.22222222222222,28.768909622568156
ISIC,1995,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,58.57142857142858,59.510869565217384,38.57142857142858,36.322463768115945,2.857142857142857,4.166666666666666
ISIC,1995,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,0.0,0.0,98.66666666666667,98.69259503405846,1.3333333333333335,1.3074049659415512
ISIC,1995,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,60.0,61.59420289855072,1.4285714285714286,1.0869565217391304,38.57142857142858,37.31884057971014
ISIC,1995,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,27.111111111111114,28.206030949933393,28.000000000000004,27.51624364429242,44.888888888888886,44.277725405774184
ISIC,1995,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,18.571428571428573,23.097826086956523,62.857142857142854,60.778985507246375,18.571428571428573,16.1231884057971
ISIC,1995,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,0.4444444444444444,0.45045045045045046,95.11111111111111,95.19113412406095,4.444444444444445,4.358415425488596
ISIC,1995,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,61.42857142857143,61.684782608695656,2.857142857142857,2.1739130434782608,35.714285714285715,36.141304347826086
ISIC,1995,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,225,6,31.11111111111111,32.32159265695851,21.777777777777775,21.385715196690803,47.11111111111111,46.29269214635068
ISIC,1995,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,70,2,22.857142857142858,26.358695652173914,61.42857142857143,60.68840579710145,15.714285714285714,12.952898550724637
