dataset,seed,stream,mode,identity,valid_online_CIL,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,19,20,66,3,4.545454545454546,-0.06493652917852329,66
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,20,10,150,97,64.66666666666667,0.013880480518075096,150
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.3552068692234871,21
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,92,81.41592920353982,0.1265483726571004,113
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,0,0.0,-0.7753174510138094,7
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,0,0.0,-0.44459172924416823,165
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,0,0.0,-0.7300264258946801,41
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,3,8,153,0,0.0,-0.4973239731676813,153
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,4,2,182,0,0.0,-0.4355379126156172,182
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,5,11,61,0,0.0,-0.742564167037414,61
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,6,17,5,0,0.0,-0.4285312399737163,5
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,7,3,157,0,0.0,-0.4470476995057518,157
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,8,21,4,0,0.0,-0.3932425634733776,4
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,9,16,8,0,0.0,-0.7493196225372599,8
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,10,22,21,0,0.0,-0.40520303228161747,21
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,11,13,160,0,0.0,-0.39280984952659,160
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,12,18,33,0,0.0,-0.3893381150835732,33
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,13,14,60,0,0.0,-0.36514662129601333,60
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,14,9,164,0,0.0,-0.5437437008935199,164
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,15,19,2,0,0.0,-0.3647477140149299,2
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,16,15,123,0,0.0,-0.5339450895393534,123
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,17,6,1,0,0.0,-0.46309108440393637,1
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,18,5,1,0,0.0,-0.27426702979634415,1
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,19,20,66,0,0.0,-0.36840855327541777,66
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,20,10,150,150,100.0,0.7120933983147902,150
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.48951378132501383,21
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,107,94.69026548672566,0.38854811539941914,113
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,1,14.285714285714286,-0.03168951717160903,7
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,129,78.18181818181819,0.07931592363007733,165
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,27,65.85365853658537,0.02415178390298081,41
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,3,8,153,141,92.15686274509804,0.14777371951612406,153
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,4,2,182,146,80.21978021978022,0.193617349187539,182
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,5,11,61,6,9.836065573770492,-0.06940576140675199,61
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,6,17,5,3,60.0,-0.028657350973296185,5
