dataset,seed,task,contrast,metric,difference_pp,low,high
HK,1993,7,F1-C0,old,14.744944552037012,7.721281692750605,22.136613885275096
HK,1994,7,F1-C0,old,43.86570111158301,38.21893747342184,50.11255238886549
HK,1995,7,F1-C0,old,53.68818198880625,49.45908031027991,57.96341030405284
HK,fixed_three_mean,7,F1-C0,old,37.432942550808754,32.91388300668104,42.36181643246985
HK,1993,7,F1-C0,current,-19.696969696969703,-28.787878787878782,-12.12121212121211
HK,1994,7,F1-C0,current,-14.590592334494772,-30.510670731707307,0.0
HK,1995,7,F1-C0,current,-22.727272727272723,-31.818181818181817,-15.151515151515149
HK,fixed_three_mean,7,F1-C0,current,-19.004944919579064,-26.452680111216694,-12.22283813747228
HK,1993,7,F1-C0,HM,1.5084316155416246,-4.31351115855782,7.484204031399055
HK,1994,7,F1-C0,HM,41.716451160099574,33.653448113117044,48.5145137958698
HK,1995,7,F1-C0,HM,-1.3180138116210642,-12.93660251732171,8.642915811005729
HK,fixed_three_mean,7,F1-C0,HM,13.968956321340045,8.402338441013443,19.138752290308926
HK,1993,7,F1-C0,tail,15.0,-5.031249999999998,37.49999999999999
HK,1994,7,F1-C0,tail,21.071428571428573,9.404761904761905,33.03571428571429
HK,1995,7,F1-C0,tail,32.0,24.0,40.0
HK,fixed_three_mean,7,F1-C0,tail,22.69047619047619,11.729761904761904,34.761904761904766
HK,1993,8,F1-P,BA,-0.2651515151515156,-0.7196969696969688,0.0
HK,1994,8,F1-P,BA,-0.23012672946647683,-0.6127407365561954,0.03980891719744761
HK,1995,8,F1-P,BA,0.3361974524658393,-0.3971829972519439,1.0531834893048158
HK,fixed_three_mean,8,F1-P,BA,-0.05302693071738437,-0.3681159016636959,0.22481380873024825
HK,1993,8,F1-P,old,-0.30303030303029743,-0.8225108225108215,0.0
HK,1994,8,F1-P,old,-0.2630019765331326,-0.7002751274927907,0.04549590536851866
HK,1995,8,F1-P,old,0.1677754435107488,-0.483667425303463,0.8381504116798136
HK,fixed_three_mean,8,F1-P,old,-0.1327522786842271,-0.43564437959027075,0.14222870668102253
HK,1993,8,F1-P,current,0.0,0.0,0.0
HK,1994,8,F1-P,current,0.0,0.0,0.0
HK,1995,8,F1-P,current,1.5151515151515227,-1.5151515151515156,5.3030303030303045
HK,fixed_three_mean,8,F1-P,current,0.5050505050505075,-0.5050505050505052,1.7676767676767682
HK,1993,8,F1-P,HM,-0.09821266307203302,-0.26723645066892826,0.0
HK,1994,8,F1-P,HM,-0.1947440325967733,-0.5266668108922719,0.0335224537653193
HK,1995,8,F1-P,HM,0.9954962449224638,-1.1152444013292058,3.529056795598029
HK,fixed_three_mean,8,F1-P,HM,0.23417984975121917,-0.48733844713898133,1.0568973673305642
HK,1993,8,F1-P,tail,0.0,0.0,0.0
HK,1994,8,F1-P,tail,0.0,0.0,0.0
HK,1995,8,F1-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,8,F1-P,tail,0.0,0.0,0.0
HK,1993,8,F1-C0,BA,24.93404786663985,17.46669269890343,32.654158719071056
HK,1994,8,F1-C0,BA,42.48054369714394,37.86506654387742,47.59061387775315
HK,1995,8,F1-C0,BA,42.85212579098413,38.48663161618958,47.37151647368024
HK,fixed_three_mean,8,F1-C0,BA,36.75557245158931,32.054302504427376,41.53175946829034
HK,1993,8,F1-C0,old,32.1545912900971,25.149264023693465,39.50423750361096
HK,1994,8,F1-C0,old,48.54919279673592,43.27436176443132,54.38927300314644
HK,1995,8,F1-C0,old,55.56012891882416,51.23841353081746,60.05637045886137
HK,fixed_three_mean,8,F1-C0,old,45.421304335219055,40.66054843120222,50.513899747366175
HK,1993,8,F1-C0,current,-25.609756097560975,-51.21951219512195,0.0
HK,1994,8,F1-C0,current,0.0,0.0,0.0
HK,1995,8,F1-C0,current,-46.103896103896105,-65.25974025974025,-30.30303030303031
HK,fixed_three_mean,8,F1-C0,current,-23.904550733819026,-36.597596170766906,-11.927638756907049
HK,1993,8,F1-C0,HM,5.953231455639646,-2.1948639633527636,15.942963426352748
HK,1994,8,F1-C0,HM,51.119794872163,46.99998264122519,55.370825257737565
HK,1995,8,F1-C0,HM,41.19074815730416,27.398676500210854,50.176229399804946
HK,fixed_three_mean,8,F1-C0,HM,32.754591495035605,26.35378948467923,38.42351441469741
HK,1993,8,F1-C0,tail,26.285714285714292,3.285714285714292,50.29464285714281
HK,1994,8,F1-C0,tail,15.80357142857143,7.053571428571431,24.776785714285715
HK,1995,8,F1-C0,tail,15.654761904761909,5.178571428571431,25.84970238095229
HK,fixed_three_mean,8,F1-C0,tail,19.248015873015877,7.188640873015875,31.78432539682539
HK,1993,9,F1-P,BA,-0.06734006734005504,-0.16835016835017313,0.0
HK,1994,9,F1-P,BA,-0.05592002567178156,-0.5174079690433946,0.36468852472202046
HK,1995,9,F1-P,BA,0.30161628779194416,-0.34587311711948576,0.9480426728890874
HK,fixed_three_mean,9,F1-P,BA,0.05945206492670252,-0.207764749599639,0.3203974836024311
HK,1993,9,F1-P,old,-0.0757575757575637,-0.18939393939393767,0.0
HK,1994,9,F1-P,old,0.12648391051318697,-0.15612182734993496,0.47487224944212075
HK,1995,9,F1-P,old,0.27666822456995277,-0.4164673999681128,0.9735633097474116
HK,fixed_three_mean,9,F1-P,old,0.10913151977519202,-0.1423950584069073,0.36502800338257596
HK,1993,9,F1-P,current,0.0,0.0,0.0
HK,1994,9,F1-P,current,-1.5151515151515298,-4.545454545454561,0.0
HK,1995,9,F1-P,current,0.5012007935679321,-0.9554140127388425,2.4590163934426243
HK,fixed_three_mean,9,F1-P,current,-0.3379835738611992,-1.621308627678052,0.7135150186209956
HK,1993,9,F1-P,HM,-0.026131823490395334,-0.06671339146445696,0.0
HK,1994,9,F1-P,HM,-0.6155557338693427,-2.188982385141958,0.2166686663430344
HK,1995,9,F1-P,HM,0.37101632465800094,-0.33493925576181843,1.275930503317545
HK,fixed_three_mean,9,F1-P,HM,-0.09022374423391237,-0.6868500500238558,0.3659204178633746
HK,1993,9,F1-P,tail,0.0,0.0,0.0
HK,1994,9,F1-P,tail,0.0,0.0,0.0
HK,1995,9,F1-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,9,F1-P,tail,0.0,0.0,0.0
HK,1993,9,F1-C0,BA,34.362362000012,29.916087935422013,39.21544386211881
HK,1994,9,F1-C0,BA,51.766979939061756,46.78892769704364,57.28912840607258
HK,1995,9,F1-C0,BA,49.07195525448524,45.005576488640564,53.29627602890802
HK,fixed_three_mean,9,F1-C0,BA,45.06709906451966,40.87745128638433,49.49479649869238
HK,1993,9,F1-C0,old,44.95847025814358,39.9456892759708,50.44567007466843
HK,1994,9,F1-C0,old,61.21284572723424,55.660542566979245,67.37670149279097
HK,1995,9,F1-C0,old,58.25687897110064,53.849103264677545,63.01900106835741
HK,fixed_three_mean,9,F1-C0,old,54.80939831882615,50.18202195860988,59.774659845911835
HK,1993,9,F1-C0,current,-50.40650406504065,-51.21951219512195,-50.0
HK,1994,9,F1-C0,current,-23.799946366318053,-32.45474658085277,-15.151515151515156
HK,1995,9,F1-C0,current,-24.40743447843792,-30.60052730500156,-18.34668998642584
HK,fixed_three_mean,9,F1-C0,current,-32.87129496993221,-36.49187568047802,-29.244937055373846
HK,1993,9,F1-C0,HM,18.202976091182663,15.841696622520594,20.681375700503732
HK,1994,9,F1-C0,HM,58.50970612206007,52.01291902086807,65.36384116572833
HK,1995,9,F1-C0,HM,60.50174506654914,55.67546440576573,65.35089284571002
HK,fixed_three_mean,9,F1-C0,HM,45.738142426597285,42.21370595848404,49.43013888797625
HK,1993,9,F1-C0,tail,17.738095238095237,5.65327380952381,31.255952380952344
HK,1994,9,F1-C0,tail,38.30357142857143,27.20200892857143,50.81845238095238
HK,1995,9,F1-C0,tail,27.85714285714286,17.315476190476193,38.872023809523796
HK,fixed_three_mean,9,F1-C0,tail,27.966269841269845,17.400669642857142,39.082341269841265
HK,1993,10,F1-P,BA,-0.04464954029968027,-0.3658536585365656,0.21366531557613672
HK,1994,10,F1-P,BA,-0.08563311688311614,-0.8082339015151524,0.5758333333333349
HK,1995,10,F1-P,BA,0.06649005394568519,-0.5843349022170843,0.7532771056758638
HK,fixed_three_mean,10,F1-P,BA,-0.021264201079037075,-0.36365785187213073,0.29806515158133934
HK,1993,10,F1-P,old,-0.13378568450805517,-0.4401740987106848,0.07077140835102114
HK,1994,10,F1-P,old,-0.09514790764790604,-0.8888250060125087,0.6734006734006714
HK,1995,10,F1-P,old,0.07387783771742562,-0.6492610024634239,0.8369745618620745
HK,fixed_three_mean,10,F1-P,old,-0.05168525147951186,-0.42645078624558813,0.3072487251165796
HK,1993,10,F1-P,current,0.7575757575757578,0.0,2.2727272727272734
HK,1994,10,F1-P,current,0.0,-1.0,1.0
HK,1995,10,F1-P,current,0.0,0.0,0.0
HK,fixed_three_mean,10,F1-P,current,0.2525252525252526,-0.2222222222222238,0.8686868686868673
HK,1993,10,F1-P,HM,1.090802996393812,-0.019451949329677996,3.4645444529221265
HK,1994,10,F1-P,HM,-0.0665062122857023,-0.7042153122226292,0.5410284679188506
