dataset,seed,task,method,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,restricted_old_BA,restricted_old_accuracy
HK,1993,11,F1,1698,61.210358180217476,82.86219081272085,55.62712802796661,"[21, 19, 6, 5]",90.2689095123506,59.53691294537509,33.61607142857143,56.69073196624716,91.34119960668632,99.2605703048181,98.94366197183099,69.96057417283515,59.10900366855524,85.07779349363508
HK,1994,1,F1,29,100.0,100.0,100.0,[],,100.0,100.0,,100.0,100.0,100.0,,,
HK,1994,2,F1,230,96.7797256097561,96.08695652173913,90.40184850311432,[],96.875,95.1219512195122,100.0,100.0,93.5594512195122,99.6875,99.50248756218906,96.6725733412089,100.0,100.0
HK,1994,3,F1,399,81.08255903987612,95.73934837092732,76.66662348662966,[],98.75,81.99767711962835,62.5,90.37383855981417,62.5,100.0,100.0,73.89576873584396,96.32621951219512,96.08695652173913
HK,1994,4,F1,406,70.2726662311266,94.08866995073892,65.74328899449795,[19],97.8125,80.77816492450638,51.25,80.36355497483547,40.0,50.0,71.42857142857143,53.413879303672715,80.46772164150212,94.9874686716792
HK,1994,5,F1,468,60.70983630357381,89.1025641025641,56.21325331422048,"[19, 6]",97.8125,72.9911210119127,38.5,68.10041013356562,31.147540983606557,100.0,100.0,42.74466710413815,69.68840737514518,94.58128078817734
HK,1994,6,F1,748,64.58407818249711,86.76470588235294,59.96482818358434,"[19, 6]",91.91348195329087,71.61833679226721,38.5,58.902167704346844,92.99363057324841,100.0,100.0,72.12215855307821,60.11428891646805,87.82051282051282
HK,1994,7,F1,919,64.55901796957026,88.13928182807399,60.20342201899819,"[19, 6]",93.16427165864016,70.52544061740383,37.73809523809524,61.13476602837785,85.10452961672473,100.0,100.0,71.15523202053741,64.58507340542702,86.76470588235294
HK,1994,8,F1,941,68.68882083311449,87.77895855472902,64.74762143249819,"[19, 6]",92.5311168622688,69.97899252997213,53.30357142857143,64.21579523784513,100.0,100.0,100.0,78.20903603680382,64.21579523784511,87.48639825897715
HK,1994,9,F1,1087,68.33613940914935,87.76448942042319,64.86151344154247,"[19, 6]",92.40133979220509,72.32304779501831,50.80357142857143,67.65316353950327,73.79994636631804,98.48484848484848,99.31506849315068,70.5930020775261,68.90316353950327,87.88522848034006
HK,1994,10,F1,1297,62.684752101390686,85.27370855821125,58.691527784840325,"[19, 6, 5]",89.97672624960181,69.98435218360522,36.74107142857143,60.001576408952616,86.83333333333334,99.66666666666666,99.52380952380952,70.9659153124895,67.34299169469016,86.93652253909843
HK,1994,11,F1,1698,61.10958757646037,82.68551236749117,55.59491555030193,"[21, 19, 6, 5]",90.08981349557546,59.41049069505904,33.61607142857143,60.36490741945819,66.07412195647491,92.42424242424242,96.25935162094763,63.090618053792106,61.99557461221319,84.81110254433307
HK,1995,1,F1,324,98.4375,98.4567901234568,98.45559845559846,[],98.4375,,,,98.4375,98.4375,98.4567901234568,,,
HK,1995,2,F1,392,98.91006097560975,98.21428571428571,97.26422518823097,[],97.8201219512195,100.0,100.0,97.8201219512195,100.0,100.0,100.0,98.89805039685596,98.75,98.76543209876543
