contrast,order_seed,session,metric,difference_pp,std_across_fixed_pairs
A-CB minus A-U,1995,1,tail_rank2,92.3076923076923,
A-CB minus A-U,fixed_pair_mean,1,tail_rank2,71.20726495726495,21.15404849683076
A-CB minus A-U,1993,1,old_macro_recall,32.880635624538066,
A-CB minus A-U,1994,1,old_macro_recall,49.921308503625575,
A-CB minus A-U,1995,1,old_macro_recall,24.111935361935366,
A-CB minus A-U,fixed_pair_mean,1,old_macro_recall,35.637959830033004,13.123759486991759
A-CB minus A-U,1993,1,current_macro_recall,68.55509355509355,
A-CB minus A-U,1994,1,current_macro_recall,-16.554054054054063,
A-CB minus A-U,1995,1,current_macro_recall,52.3731048121292,
A-CB minus A-U,fixed_pair_mean,1,current_macro_recall,34.7913814377229,45.19656512722541
A-CB minus A-U,1993,1,label_6_recall,88.46153846153845,
A-CB minus A-U,1994,1,label_6_recall,,
A-CB minus A-U,1995,1,label_6_recall,92.3076923076923,
A-CB minus A-U,fixed_pair_mean,1,label_6_recall,,
A-CB minus A-U,1993,1,label_7_recall,54.166666666666664,
A-CB minus A-U,1994,1,label_7_recall,50.0,
A-CB minus A-U,1995,1,label_7_recall,,
A-CB minus A-U,fixed_pair_mean,1,label_7_recall,,
A-CB minus A-U,1993,1,base_macro_recall,32.880635624538066,
A-CB minus A-U,1994,1,base_macro_recall,49.921308503625575,
A-CB minus A-U,1995,1,base_macro_recall,24.111935361935366,
A-CB minus A-U,fixed_pair_mean,1,base_macro_recall,35.637959830033004,13.123759486991759
A-CB minus A-U,1993,1,post_base_macro_recall,68.55509355509355,
A-CB minus A-U,1994,1,post_base_macro_recall,-16.554054054054063,
A-CB minus A-U,1995,1,post_base_macro_recall,52.3731048121292,
A-CB minus A-U,fixed_pair_mean,1,post_base_macro_recall,34.7913814377229,45.19656512722541
A-CB minus A-U,1993,1,tail_base_macro_recall,54.166666666666664,
A-CB minus A-U,1994,1,tail_base_macro_recall,50.0,
A-CB minus A-U,1995,1,tail_base_macro_recall,92.3076923076923,
A-CB minus A-U,fixed_pair_mean,1,tail_base_macro_recall,65.49145299145299,23.316802869972168
A-CB minus A-U,1993,1,tail_post_base_macro_recall,88.46153846153845,
A-CB minus A-U,1994,1,tail_post_base_macro_recall,,
A-CB minus A-U,1995,1,tail_post_base_macro_recall,,
A-CB minus A-U,fixed_pair_mean,1,tail_post_base_macro_recall,,
A-CB minus A-U,1993,2,balanced_accuracy,28.50462124752952,
A-CB minus A-U,1994,2,balanced_accuracy,28.504621247529517,
A-CB minus A-U,1995,2,balanced_accuracy,28.504621247529517,
A-CB minus A-U,fixed_pair_mean,2,balanced_accuracy,28.504621247529517,2.5121479338940403e-15
A-CB minus A-U,1993,2,tail_rank2,71.15384615384616,
A-CB minus A-U,1994,2,tail_rank2,71.15384615384616,
A-CB minus A-U,1995,2,tail_rank2,71.15384615384616,
A-CB minus A-U,fixed_pair_mean,2,tail_rank2,71.15384615384616,0.0
