method,order_seed,original_label,in_parent_base,first_session,first_recall,last_recall,first_minus_final_pp,final_minus_first_pp,no_subsequent_interval
S-M-CB,1993,2,False,2,50.0,50.0,,,True
S-M-CB,1993,3,True,0,72.5,67.5,5.0,-5.0,False
S-M-CB,1993,4,True,0,78.04878048780488,60.97560975609756,17.073170731707314,-17.073170731707314,False
S-M-CB,1993,5,False,1,51.35135135135135,51.35135135135135,0.0,0.0,False
S-M-CB,1993,6,False,1,92.3076923076923,92.3076923076923,0.0,0.0,False
S-M-CB,1993,7,True,0,62.5,58.333333333333336,4.166666666666664,-4.166666666666664,False
S-M-CB,1994,0,False,1,75.0,75.0,0.0,0.0,False
S-M-CB,1994,1,False,1,59.45945945945946,59.45945945945946,0.0,0.0,False
S-M-CB,1994,2,False,2,45.65217391304348,45.65217391304348,,,True
S-M-CB,1994,3,True,0,85.0,37.5,47.5,-47.5,False
S-M-CB,1994,4,True,0,53.65853658536586,51.21951219512195,2.439024390243908,-2.439024390243908,False
S-M-CB,1994,5,True,0,51.35135135135135,51.35135135135135,0.0,0.0,False
S-M-CB,1994,6,False,2,88.46153846153845,88.46153846153845,,,True
S-M-CB,1994,7,True,0,54.166666666666664,50.0,4.166666666666664,-4.166666666666664,False
S-M-CB,1995,0,True,0,84.0909090909091,86.36363636363636,-2.2727272727272663,2.2727272727272663,False
S-M-CB,1995,1,True,0,64.86486486486487,54.054054054054056,10.810810810810814,-10.810810810810814,False
S-M-CB,1995,2,False,2,47.82608695652174,47.82608695652174,,,True
S-M-CB,1995,3,True,0,87.5,60.0,27.5,-27.5,False
S-M-CB,1995,4,False,1,56.09756097560976,53.65853658536586,2.439024390243901,-2.439024390243901,False
S-M-CB,1995,5,False,1,48.64864864864865,51.35135135135135,-2.7027027027026946,2.7027027027026946,False
S-M-CB,1995,6,True,0,92.3076923076923,92.3076923076923,0.0,0.0,False
S-M-CB,1995,7,False,2,58.333333333333336,58.333333333333336,,,True
S-F-U,1993,0,True,0,100.0,95.45454545454545,4.545454545454547,-4.545454545454547,False
S-F-U,1993,1,False,2,45.94594594594595,45.94594594594595,,,True
S-F-U,1993,2,False,2,67.3913043478261,67.3913043478261,,,True
S-F-U,1993,3,True,0,7.5,2.5,5.0,-5.0,False
S-F-U,1993,4,True,0,14.634146341463413,0.0,14.634146341463413,-14.634146341463413,False
S-F-U,1993,5,False,1,0.0,0.0,0.0,0.0,False
S-F-U,1993,6,False,1,0.0,0.0,0.0,0.0,False
S-F-U,1993,7,True,0,0.0,0.0,0.0,0.0,False
S-F-U,1994,0,False,1,100.0,95.45454545454545,4.545454545454547,-4.545454545454547,False
