method,metric,mean,std_ddof1,minimum,maximum,n_parent_models,n_unique_final_fits,interpretation
S-M-CB,worst_class_recall,45.108695652173914,6.678372677958972,37.5,50.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,AvgBA_all,66.75394838438315,6.751751194545813,58.95899562687739,70.77462307578956,3,3,"three existing fixed S0/order pairs, not independent splits"
S-M-CB,AvgBA_inc,63.59351039891866,5.102618381373631,57.91642411489309,67.79760575111185,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,balanced_accuracy,26.28939215895738,0.1670818832352491,26.098974468539687,26.411474468539687,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,tail_rank2,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,old_macro_recall,21.268086268086268,4.283656922963601,16.325757575757574,23.91175266175266,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,current_macro_recall,41.353309831570705,13.263452130031945,33.69565217391305,56.66862514688602,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,label_6_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,label_7_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,base_macro_recall,20.118755118755118,18.328764250734242,0.0,35.867628992628994,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,post_base_macro_recall,32.460029199159635,18.03258022681392,16.847826086956523,52.197948937079374,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,tail_base_macro_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,tail_post_base_macro_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,accuracy,30.734463276836163,0.1957119556575018,30.508474576271187,30.847457627118647,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,macro_f1,16.655211564189802,0.15996831231003977,16.47979179714931,16.79302923095694,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,head_rank2,70.62858312858313,0.12412321512061933,70.48525798525799,70.7002457002457,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,mid_rank4,17.26449275362319,0.36084391824351614,16.847826086956523,17.472826086956523,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,HM_old_current_macro,27.018996076903132,1.4513402482199913,25.348751555715186,27.972865740350837,3,3,"three existing fixed S0/order pairs, not independent splits"
S-F-U,worst_class_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
