contrast,order_seed,session,metric,point_pp,lower95,upper95,resamples,seed,unit,parents_resampled,independent_confirmation,interpretation
S-J-CB minus A-CB,fixed_pair_mean,2,current_macro_recall,3.0099079012122516,-1.3503407505695855,7.342069784132444,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,label_6_recall,-3.846153846153854,-12.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,label_6_recall,-3.846153846153854,-12.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,label_6_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,2,label_6_recall,-2.564102564102569,-8.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,label_7_recall,8.333333333333336,0.0,20.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,label_7_recall,0.0,0.0,0.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,label_7_recall,8.333333333333336,0.0,20.0,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,fixed_pair_mean,2,label_7_recall,5.555555555555557,0.0,13.333333333333334,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1993,2,base_macro_recall,8.80312269031782,3.6303463704310435,13.850968086791257,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1994,2,base_macro_recall,2.6520270270270245,-0.6097560975609753,6.3829314397149775,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
S-J-CB minus A-CB,1995,2,base_macro_recall,6.1870393120393175,1.6593218624468633,10.981804993959996,2000,43001,class-stratified identity_component,False,False,fixed parent pairs; adaptively reused development validation; conditional descriptive interval
