dataset,seed,task,contrast,metric,difference_pp,low,high
ISIC,fixed_three_mean,4,N1-B1A,BA,-39.72528417087007,-44.54140737766755,-35.05119539066392
ISIC,1993,4,N1-B1A,old,-63.18253589595053,-69.70475417795464,-56.84721164972288
ISIC,1994,4,N1-B1A,old,-52.410875398680275,-59.10518448964467,-45.96579942768967
ISIC,1995,4,N1-B1A,old,-63.88859053493201,-69.91463957582377,-57.929858879858884
ISIC,fixed_three_mean,4,N1-B1A,old,-59.827333943187604,-65.6208309305897,-54.477967821717826
ISIC,1993,4,N1-B1A,current,37.13278495887191,26.743314125295516,47.93092294422081
ISIC,1994,4,N1-B1A,current,6.856187290969899,-5.8129432624113555,18.668749999999992
ISIC,1995,4,N1-B1A,current,17.75362318840579,5.737837116629902,28.72438269408667
ISIC,fixed_three_mean,4,N1-B1A,current,20.580865146082534,12.538892525169699,28.841522965021237
ISIC,1993,4,N1-B1A,tail,-71.31410256410257,-84.0,-58.81323160535118
ISIC,1994,4,N1-B1A,tail,-46.31410256410257,-61.174986698084524,-32.0
ISIC,1995,4,N1-B1A,tail,-54.48717948717949,-64.58541666666667,-44.37824675324676
ISIC,fixed_three_mean,4,N1-B1A,tail,-57.37179487179488,-67.21117724867725,-46.849982746721885
ISIC,1993,4,N1-B1A,HM,-57.223372313716396,-63.57103943272276,-49.83290364015531
ISIC,1994,4,N1-B1A,HM,-59.25073397217074,-64.77095891769237,-53.6772633189908
ISIC,1995,4,N1-B1A,HM,-57.98473342694414,-65.79481655916749,-47.88153395499643
ISIC,fixed_three_mean,4,N1-B1A,HM,-58.152946570943755,-63.79746886838487,-51.81519542492596
ISIC,1993,4,N1-N10,BA,0.0,0.0,0.0
ISIC,1994,4,N1-N10,BA,0.0,0.0,0.0
ISIC,1995,4,N1-N10,BA,-1.0416666666666679,-3.125,0.0
ISIC,fixed_three_mean,4,N1-N10,BA,-0.3472222222222226,-1.0416666666666667,0.0
ISIC,1993,4,N1-N10,old,0.0,0.0,0.0
ISIC,1994,4,N1-N10,old,0.0,0.0,0.0
ISIC,1995,4,N1-N10,old,0.0,0.0,0.0
ISIC,fixed_three_mean,4,N1-N10,old,0.0,0.0,0.0
ISIC,1993,4,N1-N10,current,0.0,0.0,0.0
ISIC,1994,4,N1-N10,current,0.0,0.0,0.0
ISIC,1995,4,N1-N10,current,-4.166666666666671,-12.5,0.0
ISIC,fixed_three_mean,4,N1-N10,current,-1.3888888888888904,-4.166666666666667,0.0
ISIC,1993,4,N1-N10,tail,0.0,0.0,0.0
ISIC,1994,4,N1-N10,tail,0.0,0.0,0.0
ISIC,1995,4,N1-N10,tail,-4.166666666666668,-12.5,0.0
ISIC,fixed_three_mean,4,N1-N10,tail,-1.3888888888888893,-4.166666666666667,0.0
ISIC,1993,4,N1-N10,HM,0.0,0.0,0.0
ISIC,1994,4,N1-N10,HM,0.0,0.0,0.0
ISIC,1995,4,N1-N10,HM,0.0,0.0,0.0
ISIC,fixed_three_mean,4,N1-N10,HM,0.0,0.0,0.0
