comparison,stage,metric,lower_pp,upper_pp,resamples,seed,valid_draws,parents_resampled
S-J-CB minus S-M-CB,0,balanced_accuracy,-0.9516754895555021,1.945151947274442,2000,44001,2000,False
S-J-CB minus S-M-CB,0,current_macro_recall,-0.9516754895555021,1.945151947274442,2000,44001,2000,False
S-J-CB minus S-M-CB,0,base_macro_recall,-0.9516754895555021,1.945151947274442,2000,44001,2000,False
S-J-CB minus S-M-CB,0,tail_rank8_macro_recall,-2.083333333333332,5.208333333333333,2000,44001,2000,False
S-J-CB minus S-M-CB,0,middle_rank7_macro_recall,-0.6129572701943781,2.919131601808529,2000,44001,2000,False
S-J-CB minus S-M-CB,0,head_rank8_macro_recall,-0.9147791551237399,0.01734927842493178,2000,44001,2000,False
S-J-CB minus S-M-CB,0,label_12_recall,-4.065040650406506,0.0,2000,44001,2000,False
S-J-CB minus S-M-CB,0,label_17_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus S-M-CB,0,label_16_recall,-12.5,25.0,2000,44001,2000,False
S-J-CB minus S-M-CB,0,label_22_recall,0.0,7.936507936507937,2000,44001,2000,False
S-J-CB minus S-M-CB,0,label_13_recall,-0.8333333333333334,0.8333333333333334,2000,44001,2000,False
S-J-CB minus S-M-CB,1,balanced_accuracy,-0.9672659448982285,2.151329946194772,2000,44001,2000,False
S-J-CB minus S-M-CB,1,old_macro_recall,-0.9459655573504894,2.6473820397387566,2000,44001,2000,False
S-J-CB minus S-M-CB,1,current_macro_recall,-1.8693027839369332,-0.2032520325203251,2000,44001,2000,False
S-J-CB minus S-M-CB,1,base_macro_recall,-0.9459655573504894,2.6473820397387566,2000,44001,2000,False
S-J-CB minus S-M-CB,1,post_base_macro_recall,-1.8693027839369332,-0.2032520325203251,2000,44001,2000,False
S-J-CB minus S-M-CB,1,tail_rank8_macro_recall,-1.1904761904761898,7.273809523809523,2000,44001,2000,False
S-J-CB minus S-M-CB,1,middle_rank7_macro_recall,-1.6004666916302224,1.927783047435184,2000,44001,2000,False
S-J-CB minus S-M-CB,1,head_rank8_macro_recall,-0.9083379131549427,0.11284156255055228,2000,44001,2000,False
