dataset,seed,task,candidate,comparator,ba_difference_pp,macro_f1_difference_pp,accuracy_difference_pp,tail_ba_difference_pp,old_ba_difference_pp,current_ba_difference_pp,hm_difference_pp,zero_recall_difference
HK,1993,8,A6,A3s,0.07567451691393723,0.1313482530585941,0.40883074407195297,0.0,0.08648516218736635,0.0,0.027559133846422057,0
HK,1993,9,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,9,A2,A0,1.7260406996829847,1.4297229871101935,0.8908685968819663,3.3333333333333384,1.9417957871433633,0.0,0.6595009668640794,0
HK,1993,9,A6,A0,1.7260406996829847,1.4297229871101935,0.8908685968819663,3.3333333333333384,1.9417957871433633,0.0,0.6595009668640794,0
HK,1993,9,A6,A5,0.03538570417550568,0.03491666585146991,0.07423904974016571,0.0,0.03980891719744806,0.0,0.01330845057372354,0
HK,1993,9,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,9,A6,A3s,-0.057478477651828896,-0.22893043489432552,0.22271714922049712,0.0,-0.06466328735830196,0.0,-0.021598866966376917,0
HK,1993,10,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,10,A2,A0,0.1906024760764069,0.0904861669485113,0.35360678925036026,0.0,0.21178052897378175,0.0,0.009942124027800814,0
HK,1993,10,A6,A0,0.1906024760764069,0.0904861669485113,0.35360678925036026,0.0,0.21178052897378175,0.0,0.009942124027800814,0
HK,1993,10,A6,A5,0.15909090909089763,0.1381615342061604,0.14144271570014633,0.0,0.09259259259258856,0.7575757575757582,1.1013588114283768,0
HK,1993,10,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,10,A6,A3s,-0.18532880227565274,-0.44559449162391296,-0.07072135785006761,0.0,-0.2900959755924748,0.7575757575757582,1.0853457350932072,0
HK,1993,11,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,11,A2,A0,0.7393959269882067,0.6981085024815314,0.2355712603062443,0.9375000000000022,1.1606297998122517,-2.0688298918387416,0.2460213791174115,0
HK,1993,11,A6,A0,0.7393959269882067,0.6981085024815314,0.2355712603062443,0.9375000000000022,1.1606297998122517,-2.0688298918387416,0.2460213791174115,0
HK,1993,11,A6,A5,-0.03534817956875047,-0.1528150972889275,-0.05889281507656108,0.0,-0.040650406504061376,0.0,-0.029925648666084825,0
HK,1993,11,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1993,11,A6,A3s,0.15916846638017734,0.29393414369509596,0.41224970553592755,0.0,0.08304373633719608,0.666666666666671,0.26792207368251386,0
HK,1994,1,A6,A2,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1994,1,A2,A0,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1994,1,A6,A0,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1994,1,A6,A5,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1994,1,A6,A4,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1994,1,A6,A3s,0.0,0.0,0.0,0.0,nan,0.0,nan,0
HK,1994,2,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,2,A2,A0,-0.2972560975609717,0.11913419452452834,0.43478260869564966,0.0,0.0,-0.5945121951219434,-0.31834495711915434,0
HK,1994,2,A6,A0,-0.2972560975609717,0.11913419452452834,0.43478260869564966,0.0,0.0,-0.5945121951219434,-0.31834495711915434,0
HK,1994,2,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,2,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,2,A6,A3s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,3,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,3,A2,A0,0.7742934572202986,0.24904468830013737,0.0,0.0,1.1614401858304313,0.0,0.3853306095818021,0
HK,1994,3,A6,A0,0.7742934572202986,0.24904468830013737,0.0,0.0,1.1614401858304313,0.0,0.3853306095818021,0
HK,1994,3,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,3,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,3,A6,A3s,0.10416666666667185,0.3707045361446393,0.25062656641603454,0.0,0.15625000000000222,0.0,0.05150037852380551,0
HK,1994,4,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,4,A2,A0,3.698098141695705,4.40524353457702,1.4778325123152802,5.000000000000004,1.5974641889275998,9.999999999999998,8.696143552432833,0
HK,1994,4,A6,A0,3.698098141695705,4.40524353457702,1.4778325123152802,5.000000000000004,1.5974641889275998,9.999999999999998,8.696143552432833,0
HK,1994,4,A6,A5,0.5952380952381042,0.5354625994160811,0.24630541871921707,0.0,0.7936507936507908,0.0,0.22925984416193312,0
HK,1994,4,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,4,A6,A3s,0.07812500000000666,0.18905412515035636,0.24630541871921707,0.0,0.10416666666666075,0.0,0.029933011022253986,0
HK,1994,5,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,5,A2,A0,1.6996951219512169,2.0600203720639976,0.42735042735042583,3.9999999999999982,2.124618902439024,0.0,0.4097477351178713,0
HK,1994,5,A6,A0,1.6996951219512169,2.0600203720639976,0.42735042735042583,3.9999999999999982,2.124618902439024,0.0,0.4097477351178713,0
HK,1994,5,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,5,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,5,A6,A3s,0.5553278688524621,0.33976663960472164,-0.42735042735042583,2.4999999999999964,1.7187500000000022,-4.098360655737704,-3.390449217836178,0
HK,1994,6,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,6,A2,A0,1.7029613715859426,1.1913408978817097,0.5347593582887722,3.9999999999999982,2.2346364484509107,-0.9554140127388533,1.3483380622202668,0
HK,1994,6,A6,A0,1.7029613715859426,1.1913408978817097,0.5347593582887722,3.9999999999999982,2.2346364484509107,-0.9554140127388533,1.3483380622202668,0
HK,1994,6,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,6,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,6,A6,A3s,-0.48149722530728134,-0.24231115546743398,-0.40106951871656804,0.0,-0.896268007948342,1.5923566878980888,-0.12176268634730425,0
HK,1994,7,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,7,A2,A0,0.23230219481167325,0.4962390879142853,0.0,0.952380952380949,1.4106824096263848,-6.837979094076663,-1.6268319372088613,0
HK,1994,7,A6,A0,0.23230219481167325,0.4962390879142853,0.0,0.952380952380949,1.4106824096263848,-6.837979094076663,-1.6268319372088613,0
HK,1994,7,A6,A5,-1.0775281724045072,-0.620705085824047,-0.10881392818281599,-2.3809523809523894,-0.06664001066239988,-7.14285714285714,-2.726799701655158,0
HK,1994,7,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,7,A6,A3s,-0.28063591545762767,0.19496250183527186,0.0,0.0,-0.3274085680338934,0.0,-0.20182941853701397,0
HK,1994,8,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,8,A2,A0,1.381841233058989,1.343833088914026,0.7438894792773598,2.500000000000002,1.579247123495997,0.0,1.1600951799722314,0
HK,1994,8,A6,A0,1.381841233058989,1.343833088914026,0.7438894792773598,2.500000000000002,1.579247123495997,0.0,1.1600951799722314,0
HK,1994,8,A6,A5,-0.3621992761337012,-0.36116300058729456,-0.10626992561105775,0.0,-0.41394202986709816,0.0,-0.3004301294040057,0
HK,1994,8,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,8,A6,A3s,-0.3530594131774034,-0.7963247086279601,-0.10626992561105775,0.0,-0.40349647220274676,0.0,-0.2928673761779188,0
HK,1994,9,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HK,1994,9,A2,A0,1.4564898266445025,0.590651355352112,0.09199632014719183,4.999999999999993,2.1514231386436045,-4.102976669348346,-0.842265399951414,0
HK,1994,9,A6,A0,1.4564898266445025,0.590651355352112,0.09199632014719183,4.999999999999993,2.1514231386436045,-4.102976669348346,-0.842265399951414,0
