class_W_delta_norm,class_id,component_count,dataset,gamma,gate_reason,margin,margin_lower_bound,reliability,seed,semantic_scale,task
1.0900182221396472e-13,22,85,HK,0.0,margin_nonpositive,-0.010877954123139208,-0.012407958248390258,0.0,1993,0.6436321395177724,7
9.879106677254708e-14,13,662,HK,0.0,margin_nonpositive,-0.025850584657621287,-0.02631966097406571,0.0,1993,0.6436321395177724,7
8.614451990161767e-14,18,127,HK,0.0,margin_nonpositive,-0.008779389854407169,-0.01006274198310825,0.0,1993,0.6436321395177724,7
1.0830226894444417e-13,14,252,HK,0.0,margin_nonpositive,-0.0014973913994361463,-0.0023448720122790294,0.0,1993,0.6436321395177724,7
9.883694240327277e-14,0,25,HK,0.0,margin_nonpositive,-0.022605544870267894,-0.025070416768472856,0.0,1993,0.5514936530377579,8
1.0043265131954676e-13,4,626,HK,0.0,margin_nonpositive,-0.011089344115539643,-0.011593120613328704,0.0,1993,0.5514936530377579,8
9.706691356981594e-14,12,167,HK,0.0,margin_nonpositive,-0.015396806403453245,-0.01565393736981393,0.0,1993,0.5514936530377579,8
9.897343881843021e-14,8,654,HK,0.0,margin_nonpositive,-0.005764956447036375,-0.0062378904077244075,0.0,1993,0.5514936530377579,8
1.5040322564245197e-13,2,736,HK,0.0,margin_nonpositive,-0.046520789357609636,-0.04697361834411021,0.0,1993,0.5514936530377579,8
0.01407965430481334,11,261,HK,1.3973621907407267e-05,active,0.005831593992232852,0.0053225562587353725,0.3786851536907369,1993,0.5514936530377579,8
9.277158934435983e-14,17,23,HK,0.0,margin_nonpositive,-0.00605788484086915,-0.008418038727898558,0.0,1993,0.5514936530377579,8
1.001218330406033e-13,3,644,HK,0.0,margin_nonpositive,-0.04037485990067165,-0.04108635860793835,0.0,1993,0.5514936530377579,8
1.1106735386171474e-13,21,18,HK,0.0,margin_nonpositive,-0.02327191259600691,-0.026602599936034407,0.0,1993,0.5514936530377579,8
8.096674395306057e-14,16,34,HK,0.0,margin_nonpositive,-0.021048252515485723,-0.022969932436838748,0.0,1993,0.5514936530377579,8
9.286272340568976e-14,22,85,HK,0.0,margin_nonpositive,-0.010877916910859759,-0.01240501990977631,0.0,1993,0.5514936530377579,8
1.0003395484578295e-13,13,662,HK,0.0,margin_nonpositive,-0.025850589338011737,-0.026319538958746006,0.0,1993,0.5514936530377579,8
8.703171565705282e-14,18,127,HK,0.0,margin_nonpositive,-0.00877934503364037,-0.01006092972742525,0.0,1993,0.5514936530377579,8
8.430260720614103e-14,14,252,HK,0.0,margin_nonpositive,-0.0014974005223935384,-0.002344818655493005,0.0,1993,0.5514936530377579,8
8.176604777532129e-14,9,635,HK,0.0,margin_nonpositive,-0.024853688391339765,-0.025255827603586325,0.0,1993,0.5514936530377579,8
1.054816214281753e-13,19,6,HK,0.0,margin_nonpositive,-0.005760665218855897,-0.011993058269883566,0.0,1993,0.5514936530377579,8
1.3707737977238152e-13,0,25,HK,0.0,margin_nonpositive,-0.022605542084634382,-0.02505434199812798,0.0,1993,0.5423118636797231,9
1.0520955444491969e-13,4,626,HK,0.0,margin_nonpositive,-0.011089345442399421,-0.011593143557830803,0.0,1993,0.5423118636797231,9
1.2857822958361467e-13,12,167,HK,0.0,margin_nonpositive,-0.015396803577333185,-0.01565330120536532,0.0,1993,0.5423118636797231,9
1.3660947229830916e-13,8,654,HK,0.0,margin_nonpositive,-0.005764958539973577,-0.006237725151120246,0.0,1993,0.5423118636797231,9
1.5352662346290203e-13,2,736,HK,0.0,margin_nonpositive,-0.04652078396568926,-0.04697358665919736,0.0,1993,0.5423118636797231,9
0.013002036299934579,11,261,HK,1.3986737928713131e-05,active,0.005831592433346394,0.005323256153074995,0.37904059786812583,1993,0.5423118636797231,9
1.2252547902781935e-13,17,23,HK,0.0,margin_nonpositive,-0.006057880591513491,-0.008396895388182748,0.0,1993,0.5423118636797231,9
1.195678533342259e-13,3,644,HK,0.0,margin_nonpositive,-0.04037485232853659,-0.041086386230454464,0.0,1993,0.5423118636797231,9
8.726380908615395e-14,21,18,HK,0.0,margin_nonpositive,-0.02327190832978835,-0.02661249120384633,0.0,1993,0.5423118636797231,9
1.2518189142195677e-13,16,34,HK,0.0,margin_nonpositive,-0.021048257035829052,-0.02296790426414425,0.0,1993,0.5423118636797231,9
8.767974280267491e-14,22,85,HK,0.0,margin_nonpositive,-0.010877915198975963,-0.012409240425955047,0.0,1993,0.5423118636797231,9
1.5089651683279868e-13,13,662,HK,0.0,margin_nonpositive,-0.025850590709766853,-0.02631935799259865,0.0,1993,0.5423118636797231,9
8.790528026697767e-14,18,127,HK,0.0,margin_nonpositive,-0.00877934239049152,-0.010063217582337138,0.0,1993,0.5423118636797231,9
1.6255730450720451e-13,14,252,HK,0.0,margin_nonpositive,-0.0014974016703605854,-0.0023443166369451597,0.0,1993,0.5423118636797231,9
1.493901042317852e-13,9,635,HK,0.0,margin_nonpositive,-0.02485369215483325,-0.02525581850368963,0.0,1993,0.5423118636797231,9
1.6622946367610066e-13,19,6,HK,0.0,margin_nonpositive,-0.0057606719414835675,-0.011927673274243062,0.0,1993,0.5423118636797231,9
1.1828841075139492e-13,15,488,HK,0.0,margin_nonpositive,-0.015969529125490083,-0.016476325252395976,0.0,1993,0.5423118636797231,9
2.303159977037781e-13,6,6,HK,0.0,margin_nonpositive,-0.013536435368175316,-0.01791384025413155,0.0,1993,0.5423118636797231,9
1.4861182257497337e-13,0,25,HK,0.0,margin_nonpositive,-0.022605542084634382,-0.02503770441105922,0.0,1993,0.43214933465270916,10
7.9432538957174e-14,4,626,HK,0.0,margin_nonpositive,-0.011089345442399421,-0.011593115924080924,0.0,1993,0.43214933465270916,10
8.270657839860896e-14,12,167,HK,0.0,margin_nonpositive,-0.015396803577333185,-0.015653390198556938,0.0,1993,0.43214933465270916,10
1.0331005354332855e-13,8,654,HK,0.0,margin_nonpositive,-0.005764958539973577,-0.006237636852978452,0.0,1993,0.43214933465270916,10
1.0198114583452599e-13,2,736,HK,0.0,margin_nonpositive,-0.04652078396568926,-0.04697361846409142,0.0,1993,0.43214933465270916,10
0.011926609658886587,11,261,HK,1.3991206051160077e-05,active,0.005831592433346394,0.005323494806646815,0.37916168398643807,1993,0.43214933465270916,10
1.321356790779933e-13,17,23,HK,0.0,margin_nonpositive,-0.006057880591513491,-0.008401223510166284,0.0,1993,0.43214933465270916,10
7.213667672914894e-14,3,644,HK,0.0,margin_nonpositive,-0.04037485232853659,-0.04108637915456559,0.0,1993,0.43214933465270916,10
1.086902366093164e-13,21,18,HK,0.0,margin_nonpositive,-0.02327190832978835,-0.026628065920606517,0.0,1993,0.43214933465270916,10
1.1180905959158255e-13,16,34,HK,0.0,margin_nonpositive,-0.021048257035829052,-0.02295792117519739,0.0,1993,0.43214933465270916,10
1.2867652809623071e-13,22,85,HK,0.0,margin_nonpositive,-0.010877915198975963,-0.012408602480909952,0.0,1993,0.43214933465270916,10
9.066530813746103e-14,13,662,HK,0.0,margin_nonpositive,-0.025850590709766853,-0.026319265309228707,0.0,1993,0.43214933465270916,10
1.186285617993566e-13,18,127,HK,0.0,margin_nonpositive,-0.00877934239049152,-0.010063131465559441,0.0,1993,0.43214933465270916,10
1.1050507015578688e-13,14,252,HK,0.0,margin_nonpositive,-0.0014974016703605854,-0.002343977547941151,0.0,1993,0.43214933465270916,10
9.71189096400772e-14,9,635,HK,0.0,margin_nonpositive,-0.02485369215483325,-0.02525571763378849,0.0,1993,0.43214933465270916,10
9.712871031678684e-14,19,6,HK,0.0,margin_nonpositive,-0.0057606719414835675,-0.011897664595633677,0.0,1993,0.43214933465270916,10
8.754719014803632e-14,15,488,HK,0.0,margin_nonpositive,-0.015969529125490083,-0.01647606892587799,0.0,1993,0.43214933465270916,10
1.0546487415050748e-13,6,6,HK,0.0,margin_nonpositive,-0.013536435368175316,-0.017898339009909562,0.0,1993,0.43214933465270916,10
1.0255431432505394e-13,5,3,HK,0.0,margin_nonpositive,-0.043694444077311254,-0.04958071082828286,0.0,1993,0.43214933465270916,10
6.371039050733828e-14,20,288,HK,0.0,margin_nonpositive,-0.017352307652518405,-0.018331703773139814,0.0,1993,0.43214933465270916,10
6.048483773236692e-14,0,25,HK,0.0,margin_nonpositive,-0.022605548949403267,-0.02502104097754886,0.0,1993,0.2776733668169813,11
7.620579162689904e-14,4,626,HK,0.0,margin_nonpositive,-0.011089387790119316,-0.011593019040022171,0.0,1993,0.2776733668169813,11
6.403393932940889e-14,12,167,HK,0.0,margin_nonpositive,-0.01539680313800441,-0.015652559893663355,0.0,1993,0.2776733668169813,11
6.681166041757802e-14,8,654,HK,0.0,margin_nonpositive,-0.005764983493458059,-0.006237533362746721,0.0,1993,0.2776733668169813,11
7.36229475406018e-14,2,736,HK,0.0,margin_nonpositive,-0.04652086150634255,-0.04697367468317669,0.0,1993,0.2776733668169813,11
0.009345030678993591,11,261,HK,1.4002685361425604e-05,active,0.005831571216271011,0.005324087974203962,0.37947277329463386,1993,0.2776733668169813,11
7.899732102657338e-14,17,23,HK,0.0,margin_nonpositive,-0.006057823388423825,-0.008383715066817439,0.0,1993,0.2776733668169813,11
6.415748514820065e-14,3,644,HK,0.0,margin_nonpositive,-0.0403748645335215,-0.04108634241250761,0.0,1993,0.2776733668169813,11
7.381988798842835e-14,21,18,HK,0.0,margin_nonpositive,-0.023271927023620534,-0.026596791545011017,0.0,1993,0.2776733668169813,11
7.513285322549378e-14,16,34,HK,0.0,margin_nonpositive,-0.021048206364607785,-0.02294478848590438,0.0,1993,0.2776733668169813,11
6.684707936821134e-14,22,85,HK,0.0,margin_nonpositive,-0.01087795058504277,-0.012405590207184646,0.0,1993,0.2776733668169813,11
7.218001141261746e-14,13,662,HK,0.0,margin_nonpositive,-0.025850581325829805,-0.02631917609077279,0.0,1993,0.2776733668169813,11
5.536644331336061e-14,18,127,HK,0.0,margin_nonpositive,-0.008779386801461661,-0.010061458468978834,0.0,1993,0.2776733668169813,11
6.652275723179555e-14,14,252,HK,0.0,margin_nonpositive,-0.0014973910468431178,-0.0023433780574267926,0.0,1993,0.2776733668169813,11
6.629843304833598e-14,9,635,HK,0.0,margin_nonpositive,-0.024853649341738886,-0.02525546853104706,0.0,1993,0.2776733668169813,11
6.715426527314032e-14,19,6,HK,0.0,margin_nonpositive,-0.0057607189374407255,-0.011841260203768387,0.0,1993,0.2776733668169813,11
7.753834103351268e-14,15,488,HK,0.0,margin_nonpositive,-0.015969500861359644,-0.016475700411463515,0.0,1993,0.2776733668169813,11
8.205075963319478e-14,6,6,HK,0.0,margin_nonpositive,-0.013536425155510077,-0.017857655013098665,0.0,1993,0.2776733668169813,11
6.374915444525519e-14,5,3,HK,0.0,margin_nonpositive,-0.04369443421947707,-0.049508250687408245,0.0,1993,0.2776733668169813,11
7.686631035673358e-14,20,288,HK,0.0,margin_nonpositive,-0.01735231600939788,-0.018331131836052124,0.0,1993,0.2776733668169813,11
6.630943390792446e-14,10,595,HK,0.0,margin_nonpositive,-0.036793572816272685,-0.03719184806928053,0.0,1993,0.2776733668169813,11
6.245309698543151e-14,7,83,HK,0.0,margin_nonpositive,-0.031275353423797045,-0.03215674957049174,0.0,1993,0.2776733668169813,11
6.974479733377544e-14,1,403,HK,0.0,margin_nonpositive,-0.029230793864787337,-0.02962793221669232,0.0,1993,0.2776733668169813,11
4.788687043327667e-13,22,85,HK,0.0,scale_zero,-0.010877941002041872,-0.012409287015510102,0.0,1994,0.0,1
4.776569707614706e-13,16,34,HK,0.0,scale_zero,0.010638792249447344,0.007930015389015636,0.0,1994,0.0,1
2.9393847337631745e-13,22,85,HK,0.0,scale_zero,-0.010877941604157032,-0.012408919864021399,0.0,1994,0.0,2
2.698869630015985e-13,16,34,HK,0.0,scale_zero,-0.0066137595868172565,-0.008677537994841226,0.0,1994,0.0,2
2.690115358985609e-13,12,167,HK,0.0,scale_zero,-0.0017175721132500475,-0.0026733730930463603,0.0,1994,0.0,2
2.7961308485638617e-13,13,662,HK,0.0,scale_zero,-0.020441198919647248,-0.020915700114868978,0.0,1994,0.0,2
2.0151287964191716e-13,22,85,HK,0.0,margin_nonpositive,-0.010877941604157032,-0.012405747936259268,0.0,1994,1.2226756917416157,3
1.8106238759790251e-13,16,34,HK,0.0,margin_nonpositive,-0.0066137595868172565,-0.008704216671161209,0.0,1994,1.2226756917416157,3
2.133509639890221e-13,12,167,HK,0.0,margin_nonpositive,-0.0017175721132500475,-0.002676302870791856,0.0,1994,1.2226756917416157,3
2.0024119380263214e-13,13,662,HK,0.0,margin_nonpositive,-0.020441198919647248,-0.020915626098457853,0.0,1994,1.2226756917416157,3
2.3558764250114096e-13,21,18,HK,0.0,margin_nonpositive,-0.023271951738325605,-0.02657204358290977,0.0,1994,1.2226756917416157,3
1.6332959205991478e-13,4,626,HK,0.0,margin_nonpositive,-0.011089327346874142,-0.011592919678329372,0.0,1994,1.2226756917416157,3
1.850362978319374e-13,22,85,HK,0.0,margin_nonpositive,-0.010877973097676647,-0.01240209520389279,0.0,1994,1.2665696075125288,4
1.620031097945628e-13,16,34,HK,0.0,margin_nonpositive,-0.0066137382700599285,-0.008702318589126812,0.0,1994,1.2665696075125288,4
1.6205821600767572e-13,12,167,HK,0.0,margin_nonpositive,-0.0017175922319672592,-0.0026761158770853147,0.0,1994,1.2665696075125288,4
1.5637623547625841e-13,13,662,HK,0.0,margin_nonpositive,-0.020441152691454585,-0.02091526827256188,0.0,1994,1.2665696075125288,4
1.4955184186601016e-13,21,18,HK,0.0,margin_nonpositive,-0.023271936894766514,-0.026579767290507216,0.0,1994,1.2665696075125288,4
1.380731194249395e-13,4,626,HK,0.0,margin_nonpositive,-0.0110893957137567,-0.011593383820555397,0.0,1994,1.2665696075125288,4
1.4659418089305213e-13,19,6,HK,0.0,margin_nonpositive,-0.0037368085902692513,-0.009250743121713072,0.0,1994,1.2665696075125288,4
1.7401894302234013e-13,17,23,HK,0.0,margin_nonpositive,-0.0044607367432752225,-0.006775457718949383,0.0,1994,1.2665696075125288,4
1.5595621331101814e-13,22,85,HK,0.0,margin_nonpositive,-0.010877916910859759,-0.012408460376098163,0.0,1994,1.544548197725993,5
1.3887574608584963e-13,16,34,HK,0.0,margin_nonpositive,-0.021048252515485723,-0.022943957735694066,0.0,1994,1.544548197725993,5
1.2304870027691148e-13,12,167,HK,0.0,margin_nonpositive,-0.015396806403453245,-0.0156534309062723,0.0,1994,1.544548197725993,5
1.364750955990378e-13,13,662,HK,0.0,margin_nonpositive,-0.025850589338011737,-0.02631909576291305,0.0,1994,1.544548197725993,5
2.3069208367993174e-13,21,18,HK,0.0,margin_nonpositive,-0.02327191259600691,-0.026586384088312206,0.0,1994,1.544548197725993,5
1.355784334935399e-13,4,626,HK,0.0,margin_nonpositive,-0.011089344115539643,-0.011593259337585121,0.0,1994,1.544548197725993,5
1.974129863161721e-13,19,6,HK,0.0,margin_nonpositive,-0.004807749669625227,-0.010599724739879836,0.0,1994,1.544548197725993,5
2.2081862878483373e-13,17,23,HK,0.0,margin_nonpositive,-0.00605788484086915,-0.008415336513530299,0.0,1994,1.544548197725993,5
1.7081991012279954e-13,6,6,HK,0.0,margin_nonpositive,-0.013536439493954638,-0.01796777634579664,0.0,1994,1.544548197725993,5
0.0451017133425816,11,261,HK,2.9940446902326192e-05,active,0.015403490138813307,0.015197562064783293,0.8113861110530397,1994,1.544548197725993,5
1.0645104075092562e-13,22,85,HK,0.0,margin_nonpositive,-0.010877908954407914,-0.01240929222205208,0.0,1994,1.0601713733362053,6
1.011600492566241e-13,16,34,HK,0.0,margin_nonpositive,-0.021048245911163173,-0.022967843855254792,0.0,1994,1.0601713733362053,6
1.355427741924856e-13,12,167,HK,0.0,margin_nonpositive,-0.01539682772843265,-0.0156530115177004,0.0,1994,1.0601713733362053,6
2.749434185302924e-13,13,662,HK,0.0,margin_nonpositive,-0.025850607965023163,-0.026319299142169544,0.0,1994,1.0601713733362053,6
1.2374111886784348e-13,21,18,HK,0.0,margin_nonpositive,-0.023271882686225438,-0.026601703658559406,0.0,1994,1.0601713733362053,6
1.1983134179666516e-13,4,626,HK,0.0,margin_nonpositive,-0.0110893509652308,-0.011593214037216183,0.0,1994,1.0601713733362053,6
1.8025654964633882e-13,19,6,HK,0.0,margin_nonpositive,-0.004807765154731294,-0.010587897069474567,0.0,1994,1.0601713733362053,6
1.3548352007014762e-13,17,23,HK,0.0,margin_nonpositive,-0.006057842855719683,-0.008412781802536563,0.0,1994,1.0601713733362053,6
1.4961376230151392e-13,6,6,HK,0.0,margin_nonpositive,-0.013536427505040355,-0.017945508698265323,0.0,1994,1.0601713733362053,6
0.03749072851989764,11,261,HK,2.9946826425521198e-05,active,0.015403506153817768,0.015197807344349636,0.8115589961316244,1994,1.0601713733362053,6
1.395046428969713e-13,3,644,HK,0.0,margin_nonpositive,-0.04037484817974445,-0.04108668364161762,0.0,1994,1.0601713733362053,6
1.465756602890584e-13,15,488,HK,0.0,margin_nonpositive,-0.015969533787897647,-0.016476003100778815,0.0,1994,1.0601713733362053,6
1.153591775235923e-13,22,85,HK,0.0,margin_nonpositive,-0.010877954123139208,-0.012408267229441453,0.0,1994,0.7873698387931198,7
1.1462742633313902e-13,16,34,HK,0.0,margin_nonpositive,-0.021048205300525577,-0.022964753117758682,0.0,1994,0.7873698387931198,7
1.1262103449138745e-13,12,167,HK,0.0,margin_nonpositive,-0.015396802083767779,-0.015651949382062807,0.0,1994,0.7873698387931198,7
1.0552583466337352e-13,13,662,HK,0.0,margin_nonpositive,-0.025850584657621287,-0.026319179658543652,0.0,1994,0.7873698387931198,7
1.1572966202288128e-13,21,18,HK,0.0,margin_nonpositive,-0.02327192649306509,-0.02658680589910395,0.0,1994,0.7873698387931198,7
9.460650197046028e-14,4,626,HK,0.0,margin_nonpositive,-0.011089392430332702,-0.011593112175769978,0.0,1994,0.7873698387931198,7
1.5665687886318148e-13,19,6,HK,0.0,margin_nonpositive,-0.004807776997683532,-0.010572455659165349,0.0,1994,0.7873698387931198,7
